t_s,V_mps,alt_m,climb_mps,throttle,flap
0.000,218.46,2143.8,-173.68,1.00,0.00
0.100,219.51,2126.4,-173.54,1.00,0.00
0.200,220.55,2109.0,-173.51,1.00,0.00
0.300,221.59,2091.7,-173.51,1.00,0.00
0.400,222.62,2074.3,-173.54,1.00,0.00
0.500,223.64,2057.0,-173.66,1.00,0.00
0.600,224.66,2039.6,-173.67,1.00,0.00
0.700,225.65,2022.3,-173.17,1.00,0.00
0.800,226.60,2005.0,-172.18,1.00,0.00
0.900,227.55,1987.8,-171.17,1.00,0.00
1.000,228.50,1970.8,-170.32,1.00,0.00
1.100,229.45,1953.8,-169.63,1.00,0.00
1.200,230.39,1936.8,-169.09,1.00,0.00
1.300,231.33,1919.9,-168.75,1.00,0.00
1.400,232.27,1903.1,-168.42,1.00,0.00
1.500,233.21,1886.3,-167.45,1.00,0.00
1.600,234.11,1869.7,-165.42,1.00,0.00
1.700,235.00,1853.2,-163.26,1.00,0.00
1.800,235.88,1837.0,-161.31,1.00,0.00
1.900,236.75,1821.0,-159.65,1.00,0.00
2.000,237.61,1805.1,-158.35,1.00,0.00
2.100,238.47,1789.3,-157.38,1.00,0.00
2.200,239.33,1773.6,-156.71,1.00,0.00
2.300,240.18,1757.9,-156.30,1.00,0.00
2.400,241.02,1742.3,-156.09,1.00,0.00
2.500,241.86,1726.7,-156.04,1.00,0.00
2.600,242.70,1711.1,-155.93,1.00,0.00
2.700,243.53,1695.5,-155.84,1.00,0.00
2.800,244.36,1680.0,-155.73,1.00,0.00
2.900,245.18,1664.4,-155.70,1.00,0.00
3.000,246.00,1648.8,-155.78,1.00,0.00
3.100,246.81,1633.2,-155.94,1.00,0.00
3.200,247.62,1617.6,-156.16,1.00,0.00
3.300,248.43,1602.0,-156.44,1.00,0.00
3.400,249.23,1586.3,-156.77,1.00,0.00
3.500,250.03,1570.6,-157.13,1.00,0.00
3.600,250.82,1554.9,-157.52,1.00,0.00
3.700,251.62,1539.1,-157.94,1.00,0.00
3.800,252.41,1523.3,-158.37,1.00,0.00
3.900,253.20,1507.4,-158.81,1.00,0.00
4.000,253.99,1491.5,-159.28,1.00,0.00
4.100,254.77,1475.6,-159.75,1.00,0.00
4.200,255.55,1459.6,-160.23,1.00,0.00
4.300,256.33,1443.5,-160.69,1.00,0.00
4.400,257.10,1427.4,-161.15,1.00,0.00
4.500,257.88,1411.3,-161.61,1.00,0.00
4.600,258.65,1395.1,-162.08,1.00,0.00
4.700,259.41,1378.9,-162.59,1.00,0.00
4.800,260.17,1362.5,-164.25,1.00,0.00
4.900,260.88,1345.9,-167.58,1.00,0.00
5.000,261.56,1329.0,-171.83,1.00,0.00
5.100,262.21,1311.5,-176.63,1.00,0.00
5.200,262.88,1293.6,-181.11,1.00,0.00
5.300,263.60,1275.3,-184.74,1.00,0.00
5.400,264.35,1256.7,-187.54,1.00,0.00
5.500,265.11,1237.7,-190.75,1.00,0.00
5.600,265.84,1218.4,-194.89,1.00,0.00
5.700,266.61,1198.7,-198.82,1.00,0.00
5.800,267.42,1178.7,-201.90,1.00,0.00
5.900,268.26,1158.3,-204.65,1.00,0.00
6.000,269.11,1137.7,-206.85,1.00,0.00
6.100,269.95,1116.9,-209.48,1.00,0.00
6.200,270.69,1095.8,-213.22,1.00,0.00
6.300,271.33,1074.2,-217.21,1.00,0.00
6.400,272.06,1052.4,-219.78,1.00,0.00
6.500,272.86,1030.3,-221.30,1.00,0.00
6.600,273.71,1008.1,-222.31,1.00,0.00
6.700,274.58,985.8,-223.12,1.00,0.00
6.800,275.46,963.5,-223.91,1.00,0.00
6.900,276.35,941.0,-224.74,1.00,0.00
7.000,277.23,918.5,-225.63,1.00,0.00
7.100,278.11,895.9,-226.55,1.00,0.00
7.200,278.99,873.2,-228.09,1.00,0.00
7.300,279.75,850.2,-232.05,1.00,0.00
7.400,280.31,826.7,-237.58,1.00,0.00
7.500,280.77,802.6,-242.56,1.00,0.00
7.600,281.19,778.2,-245.50,1.00,0.00
7.700,281.60,753.6,-245.86,1.00,0.00
7.800,281.99,729.1,-243.75,1.00,0.00
7.900,282.39,705.0,-239.48,1.00,0.00
8.000,282.76,681.3,-233.19,1.00,0.00
8.100,283.11,658.4,-224.75,1.00,0.00
8.200,283.43,636.5,-214.34,1.00,0.00
8.300,283.71,615.7,-201.96,1.00,0.00
8.400,283.96,596.3,-187.63,1.00,0.00
8.500,284.18,578.4,-171.35,1.00,0.00
8.600,284.34,562.2,-153.26,1.00,0.00
8.700,284.45,548.0,-133.65,1.00,0.00
8.800,284.49,535.7,-112.70,1.00,0.00
8.900,284.47,525.6,-90.49,1.00,0.00
9.000,284.38,517.8,-67.70,1.00,0.00
9.100,284.31,512.2,-47.76,1.00,0.00
9.200,284.26,508.3,-30.46,1.00,0.00
9.300,284.21,506.1,-14.92,1.00,0.00
9.400,284.17,505.4,-1.32,1.00,0.00
9.500,284.12,505.9,10.63,1.00,0.00
9.600,284.05,507.6,21.09,1.00,0.00
9.700,283.98,510.2,29.38,1.00,0.00
9.800,283.88,513.5,37.17,1.00,0.00
9.900,283.75,517.7,45.97,1.00,0.00
10.000,283.58,522.8,54.72,1.00,0.00
10.100,283.39,528.7,62.89,1.00,0.00
10.200,283.18,535.4,70.47,1.00,0.00
10.300,282.94,542.8,77.88,1.00,0.00
10.400,282.69,551.0,84.37,1.00,0.00
10.500,282.42,559.7,89.75,1.00,0.00
10.600,282.15,568.9,93.97,1.00,0.00
10.700,281.88,578.5,97.20,1.00,0.00
10.800,281.60,588.4,99.63,1.00,0.00
10.900,281.32,598.4,101.42,1.00,0.00
11.000,281.03,608.6,102.74,1.00,0.00
11.100,280.74,619.0,103.67,1.00,0.00
11.200,280.45,629.4,104.01,1.00,0.00
11.300,280.16,639.7,103.85,1.00,0.00
11.400,279.87,650.1,103.52,1.00,0.00
11.500,279.59,660.4,102.70,1.00,0.00
11.600,279.31,670.6,101.66,1.00,0.00
11.700,279.03,680.7,100.68,1.00,0.00
